annotation_id	assembly_accession	species	lineage	busco_count	complete	single	duplicated	fragmented	missing	Well_annotated	Upstream	Downstream	Skipped	Out_of_frame
0ae079e7891fce57e2dc27f3e1243b86	GCA_042031275.1	Homo_sapiens	eukaryota_odb12	129	96.9	96.1	0.8	3.1	0.0	84	25	7	4	12
a8b7c3b81a8788e6789998a1e4c8cf25	GCA_041900245.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12
17a2206e38e78781f6fa55446d6ce8c3	GCA_042077855.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12
abb9c8eb9d3e67ea8d69bb74227b3cf6	GCA_042031945.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12
991c4ef9cd67049776870e8528ebc40b	GCA_042030605.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12
1bb1f2aeff51c04158d921902abee545	GCA_042077995.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12
bee0efcbfdcc29701c535c652001da1f	GCA_042076675.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12
20a0165d6c1410552bfab29dd88e9e3c	GCA_042077985.1	Homo_sapiens	eukaryota_odb12	129	96.1	94.6	1.6	3.9	0.0	84	25	7	4	12
c17de5e99e237a928dcc034d839f8a05	GCA_042078025.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	74	25	5	4	12
5936811057280f4db6c36265e77dc62f	GCA_042076545.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12
c90e848e964bd31f598bf4dad6ed575c	GCA_042076825.1	Homo_sapiens	eukaryota_odb12	129	96.9	96.1	0.8	3.1	0.0	84	25	7	4	12
6cd50f5475212c5bac644461947cdb42	GCA_042077965.1	Homo_sapiens	eukaryota_odb12	129	96.9	96.1	0.8	3.1	0.0	84	25	7	4	12
da1e16bfe734ac682053a6f38d2bc9be	GCA_042077885.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12
777182dc987cfab4b55e0208a79463ea	GCA_042077015.1	Homo_sapiens	eukaryota_odb12	129	96.9	96.1	0.8	3.1	0.0	84	25	7	4	12
e16dd563c74263632d295c08186cec7f	GCA_042077745.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12
783aa83dfc385d9d0a2044714acbe045	GCA_042076565.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12
e27147e3bd7cff47e412c2d01fc23505	GCA_041900255.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12
816ea8269c61329ffd1a29a7b05a49f9	GCA_042032465.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12
fca0c7689126f4d9482de8150b2bfddc	GCA_042077865.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12
954d1df107cdca89a16323773cf88397	GCA_042031775.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12
fe7597664b7ca095cd9eca02010ce535	GCA_042076665.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12
00027ab87fe831e482a7eb528ccbcb9b	GCA_003704675.1	NA	eukaryota_odb12	129	95.3	94.6	0.8	1.6	3.1	0	0	0	0	0	
04cd57657f928e8907f890bc91bb18ef	GCA_000302655.1	NA	eukaryota_odb12	129	81.4	81.4	0.0	14.0	4.7	0	0	0	0	0	
0997676a8d575feb74526db7e161e770	GCA_947078815.1	Oryzias_latipes	eukaryota_odb12	129	96.9	96.9	0.0	3.1	0.0	0	0	0	0	0	
0e3905bd70780ce2a382e3decec9fda9	GCF_019915245.1	NA	eukaryota_odb12	129	99.2	99.2	0.0	0.8	0.0	0	0	0	0	0	
12b655ab2487b2e8a77168ff86da401c	GCA_013398055.1	NA	eukaryota_odb12	129	83.7	82.2	1.6	10.9	5.4	1	1	8	1	2	
0010f151b254fc1827eac1f5685f477b	GCA_015679585.1	NA	eukaryota_odb12	129	93.0	90.7	2.3	6.2	0.8	0	0	0	0	0	
04cee6a00c96006c9ae9ce45f33d800e	GCA_905071755.1	NA	eukaryota_odb12	129	90.7	88.4	2.3	7.0	2.3	0	0	0	0	0	
099b9b9a10257df9fa2ef6b905bb2c46	GCA_943733655.1	NA	eukaryota_odb12	129	84.5	84.5	0.0	7.0	8.5	0	0	0	0	0	
0e3af818c2fb233c5b8cae155920efbe	GCA_013364935.1	NA	eukaryota_odb12	129	99.2	99.2	0.0	0.8	0.0	0	0	1	0	0	
12b83521ddd7ed08b12798cb149d6030	GCA_002966975.2	NA	eukaryota_odb12	129	75.2	39.5	35.7	14.7	10.1	0	0	0	0	0	
003003d1dfdebce703f7185a54d0f2e1	GCA_042037905.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12	
04f9af89de3a486a023c3ccc415acd26	GCA_016163765.1	Magallana_hongkongensis	eukaryota_odb12	129	93.0	89.9	3.1	3.9	3.1	0	2	8	11	0	
0e5b653da9ef94bc0adbcab7fee267fa	GCA_038497925.1	NA	eukaryota_odb12	129	93.8	93.8	0.0	5.4	0.8	0	0	0	0	0	
12dd35362f0b5aebbffdc64bb13ed858	GCF_018152505.1	NA	eukaryota_odb12	129	99.2	99.2	0.0	0.0	0.8	2	0	0	0	0	
01b07976dd5591af2d20267c5a20052d	GCA_014905795.1	NA	eukaryota_odb12	129	79.1	76.0	3.1	10.9	10.1	0	0	0	0	0	
06ca39025a56853a092c8e50e85cd793	GCA_004026885.1	Megaderma_lyra	eukaryota_odb12	129	90.7	88.4	2.3	6.2	3.1	0	6	5	10	1	
0b6c629eee036b3e48ef61e467e2fd5c	GCA_010094145.1	NA	eukaryota_odb12	129	97.7	97.7	0.0	2.3	0.0	0	0	0	0	0	
102e937461388a6de977555f25707226	GCF_000495115.2	NA	eukaryota_odb12	129	100.0	61.2	38.8	0.0	0.0	0	1	0	0	0	
146c6b9ddf8a202a9c40d3f434a63a56	GCA_000337935.2	NA	eukaryota_odb12	129	86.8	86.8	0.0	11.6	1.6	0	0	4	0	3	
01ba37358100bfd7d62515827549d125	GCA_950023065.1	Planococcus_citri	eukaryota_odb12	129	98.4	94.6	3.9	1.6	0.0	0	0	0	0	0	
06cbbebac8fab6182f2a6be70cac5b02	GCA_949124595.1	NA	eukaryota_odb12	129	84.5	83.7	0.8	7.8	7.8	0	0	0	0	0	
0b6fe865f2733caafc108deaf5986ea1	GCF_002847485.1	NA	eukaryota_odb12	129	96.9	96.9	0.0	3.1	0.0	0	0	0	0	0	
1036e94c6bb855eed695f478729782e2	GCA_914767935.1	Coremacera_marginata	eukaryota_odb12	129	96.9	94.6	2.3	2.3	0.8	0	0	1	0	0	
1472b9e069ffe138fee55079e2030219	GCA_034008185.1	Gorsachius_magnificus	eukaryota_odb12	129	93.8	93.8	0.0	4.7	1.6	1	6	10	7	3	
01c0a463981ba8ce1dfa2b8da174b08a	GCA_010093605.1	NA	eukaryota_odb12	129	95.3	94.6	0.8	3.9	0.8	0	0	0	0	0	
06cef3b3130bb303fc8b0b59d21fbc13	GCA_964274175.1	Suberites_sp_ucmpwc859	eukaryota_odb12	129	94.6	92.2	2.3	2.3	3.1	0	2	11	7	0	
0b723ff7b6a063c9c1a62482bf8ef169	GCA_019924735.1	NA	eukaryota_odb12	129	69.0	24.8	44.2	27.1	3.9	0	0	0	0	0	
1037871ff2a7a3b0135aa678eced3d51	GCA_964264405.1	Hericium_coralloides	eukaryota_odb12	129	87.6	87.6	0.0	9.3	3.1	0	0	0	0	0	
1476db88b1a4071b6c2eb20780025bff	GCA_018360525.1	NA	eukaryota_odb12	129	100.0	99.2	0.8	0.0	0.0	0	0	0	0	1	
