annotation_id	assembly_accession	species	lineage	busco_count	complete	single	duplicated	fragmented	missing	Well_annotated	Upstream	Downstream	Skipped	Out_of_frame	Spliced	Stop_codon	Selenocysteine_Gene_Count	Selenocysteine_GTF_Count
0000348b7c0c6106dc2227d38d86ece9	GCA_036417435.1	NA	eukaryota_odb12	129	99.2	95.3	3.9	0.0	0.8	23	0	0	0	0	0	4	25	25
049fbe521f362946e011e617c99367dc	GCA_944452685.1	Tachina_lurida	eukaryota_odb12	129	94.6	94.6	0.0	2.3	3.1	0	0	1	1	0	0	1	3	3
0942f7b940f008d04717da956515b589	GCF_000949405.1	NA	eukaryota_odb12	129	99.2	98.4	0.8	0.8	0.0	1	0	0	0	0	0	0	1	1
0da62cd4ccfda01be57555cb90ce4c62	GCA_965183815.1	Platalea_leucorodia	eukaryota_odb12	129	98.4	96.1	2.3	0.8	0.8	0	10	5	8	2	0	16	24	24
11f58a2bb224d53fbba343e9e5d82628	GCA_905359455.1	NA	eukaryota_odb12	129	99.2	99.2	0.0	0.8	0.0	0	0	0	0	0	0	0	0	0
15f43d38e44121792f2b0bc6adb9340c	GCA_964374135.1	Grampus_griseus	eukaryota_odb12	129	100.0	96.1	3.9	0.0	0.0	0	3	6	10	1	0	16	26	26
1a797ae7e5357438c00f2509c899f47e	GCA_910591895.1	Adalia_bipunctata	eukaryota_odb12	129	79.1	78.3	0.8	3.9	17.1	0	0	0	0	0	0	0	0	0
1e9a71a94c45637788edba2d4f01ca48	GCA_964271515.3	Deroceras_lasithionense	eukaryota_odb12	129	89.1	89.1	0.0	10.1	0.8	0	3	6	0	0	0	1	12	12
233766c3f6b494e5757b8bb1737f71bd	GCA_902459465.3	Asterias_rubens	eukaryota_odb12	129	94.6	83.7	10.9	1.6	3.9	0	0	9	5	0	0	9	19	20
277e7c240c2ce96704244c9487abb600	GCA_964194215.2	Rhinolophus_hipposideros	eukaryota_odb12	129	99.2	94.6	4.7	0.8	0.0	0	2	4	10	1	0	14	25	25
00027ab87fe831e482a7eb528ccbcb9b	GCA_003704675.1	NA	eukaryota_odb12	129	95.3	94.6	0.8	1.6	3.1	0	0	0	0	0	0	0	0	0
04a057f901170114c939fb402d88eaae	GCA_003046395.2	NA	eukaryota_odb12	129	96.1	22.5	73.6	3.1	0.8	0	0	0	0	0	0	0	0	0
0944c5fc9ac24a32756fca16dc77678e	GCA_004369125.1	NA	eukaryota_odb12	129	98.4	98.4	0.0	1.6	0.0	0	0	0	0	0	0	0	0	0
0da69787aec9b62a6b374575ed91aaaf	GCA_905250065.1	NA	eukaryota_odb12	129	96.1	86.8	9.3	3.9	0.0	0	0	7	10	0	0	7	19	19
11f752c205aa56d413e80a45465dcd15	GCA_009078325.1	NA	eukaryota_odb12	129	92.2	92.2	0.0	4.7	3.1	0	0	0	0	0	0	0	0	0
15f57f3e8d2c9c0f82add9f39ec539f7	GCA_010094085.1	NA	eukaryota_odb12	129	97.7	97.7	0.0	1.6	0.8	0	0	0	0	0	0	0	0	0
1a7ac24f096a5aeea6e75155c62ac6c6	GCA_034401795.1	Chaetoderma_sp_lz_2023a	eukaryota_odb12	129	86.0	82.9	3.1	13.2	0.8	0	0	3	4	0	0	4	9	10
1e9b1f5a30fd6b766e6a8d956221e960	GCF_048418805.1	NA	eukaryota_odb12	129	99.2	94.6	4.7	0.8	0.0	26	0	4	1	1	0	27	26	26
233bf9d8d22341d9a4fc72ee0f40ab3f	GCA_000439145.3	NA	eukaryota_odb12	129	96.9	95.3	1.6	0.8	2.3	0	0	0	0	0	0	0	0	0
27813d53cb41f678881119a8d417ddb3	GCA_000521035.1	NA	eukaryota_odb12	129	51.2	49.6	1.6	17.8	31.0	0	0	0	2	0	0	0	3	3
003003d1dfdebce703f7185a54d0f2e1	GCA_042037905.1	Homo_sapiens	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0	84	25	7	4	12	0	0	28	28
04c189385462b0de4cdc14c882107bad	GCA_028827645.1	NA	eukaryota_odb12	129	95.3	95.3	0.0	3.9	0.8	0	0	0	0	0	0	0	0	0
09605f92fd125d838f14fa45b99eb6a3	GCA_963210345.1	Inga_oerstediana	eukaryota_odb12	129	100.0	87.6	12.4	0.0	0.0	0	0	0	0	0	0	0	0	0
0dcad12cb42ea718fd74a6e38e927b19	GCA_053539345.1	NA	eukaryota_odb12	129	96.9	96.9	0.0	1.6	1.6	0	0	0	0	0	0	0	0	0
121ee4f258552b16599c8022641c3002	GCA_046255245.1	NA	eukaryota_odb12	129	15.5	14.7	0.8	20.9	63.6	0	0	0	5	1	0	0	11	11
1617e0db19d3913b3ae5cdb7b3b251bb	GCA_050947685.1	NA	eukaryota_odb12	129	82.2	81.4	0.8	9.3	8.5	0	0	0	0	0	0	0	0	0
1a9af462c4397791d85bfdd0e691b351	GCA_946894075.1	Acleris_literana	eukaryota_odb12	129	96.9	96.9	0.0	2.3	0.8	0	0	0	0	0	0	0	0	0
1ecf862dfbfe6d04cb1b134375dff33c	GCA_034509725.1	NA	eukaryota_odb12	129	82.9	76.0	7.0	10.9	6.2	0	0	0	0	0	0	0	0	0
234f9cb2b40f482a5cad425824906086	GCA_022578365.1	NA	eukaryota_odb12	129	93.8	93.8	0.0	5.4	0.8	0	0	0	0	0	0	0	0	0
27ab3bbf1c1f184ab368d7d4e16ce38c	GCF_002814215.2	NA	eukaryota_odb12	129	97.7	97.7	0.0	1.6	0.8	33	0	1	0	0	0	5	39	40
017f9e1faa97bf4b8c32ef81a85011d5	GCA_965202865.1	Idaea_rufaria	eukaryota_odb12	129	95.3	95.3	0.0	3.1	1.6	0	0	0	0	0	0	0	0	0
067bf128e19a56ea85a77cd17814cbe0	GCA_010085365.1	Eudyptes_filholi	eukaryota_odb12	129	92.2	92.2	0.0	5.4	2.3	0	7	5	6	2	0	9	22	22
0ae9d6574cdd9aa75190f0be8c10eb18	GCA_036924085.1	Ariolimax_columbianus	eukaryota_odb12	129	91.5	90.7	0.8	3.9	4.7	0	4	6	5	0	0	4	17	20
0f6de355ac6f10da10c534d898ebbbae	GCA_905163465.1	Craniophora_ligustri	eukaryota_odb12	129	98.4	97.7	0.8	0.8	0.8	0	0	0	0	0	0	0	0	0
13b3463532b363317325d221b4b989b3	GCA_949124145.1	NA	eukaryota_odb12	129	85.3	84.5	0.8	7.8	7.0	0	0	0	0	0	0	0	0	0
178bd20e2792ffb84e0c7e9f74e6845f	GCA_947370255.1	NA	eukaryota_odb12	129	85.3	84.5	0.8	7.8	7.0	0	0	0	0	0	0	0	0	0
1c211eb74f43ace8eaddb27194af5a7d	GCA_917207985.2	Athalia_rosae	eukaryota_odb12	129	97.7	96.9	0.8	1.6	0.8	0	0	1	2	0	0	0	1	1
